timestep,user_id_1based,x,y,served
1,1,26.10960890615575,-454.433986884154,False
1,2,141.76512408147542,-161.40068931104835,False
1,3,-440.8669451754364,241.4523876451862,True
1,4,278.5354311845989,245.28147280409829,False
1,5,-368.6196911545025,-232.57292865304007,True
1,6,-462.1572076171018,58.097160525741494,False
1,7,-116.03028868025591,60.66592583541105,False
1,8,418.85392042275146,-365.43807430485253,False
1,9,332.3953721115005,291.4195577550933,True
1,10,-250.2904335946821,7.504742498665149,True

2,1,14.786005134605494,-464.00573474833595,False
2,2,141.50763898951058,-153.27011428918416,False
2,3,-433.91696464995783,249.837924098551,True
2,4,286.2659926711641,240.9404262297899,False
2,5,-372.47193925255266,-223.41458398986066,True
2,6,-470.1629124840809,50.118545437667045,False
2,7,-120.55640245876768,67.30608560572949,False
2,8,421.4521123189757,-353.19361849384114,False
2,9,324.22358330514754,285.3669097904152,True
2,10,-240.55167919802832,2.91335160219829,True

3,1,3.549535435931297,-473.67962270826786,False
3,2,141.29997344395332,-145.138114302715,False
3,3,-426.8030319212627,258.08482727773537,True
3,4,293.6965605812347,236.103802738995,False
3,5,-377.0012529452593,-214.57148442853162,True
3,6,-478.6769396452638,42.684774480779716,False
3,7,-125.51108420220015,73.63289811541293,False
3,8,425.149988468322,-341.23523184590607,False
3,9,316.12459420990626,279.2171898524734,True
3,10,-230.50362628029228,-0.9545729219978147,True

4,1,-7.717347078403542,-483.3180726852462,True
4,2,140.81700641197963,-137.0178131011109,True
4,3,-419.11239528557843,265.7967374855317,True
4,4,300.9834455859139,231.05330046828362,False
4,5,-381.4563151395565,-205.6907461020488,True
4,6,-487.61288696215956,35.76390353194056,False
4,7,-130.81846085253022,79.66690017067617,True
4,8,429.1107742292915,-329.36133293303345,False
4,9,308.5097848562125,272.4772077911579,True
4,10,-220.69839455063766,-5.402228291996275,True

5,1,-19.768614287983297,-491.9557412476446,True
5,2,140.13308345685527,-128.91196347567373,True
5,3,-411.3844099295029,273.4712207418509,True
5,4,308.0606061754418,225.71288248390144,False
5,5,-385.9050524585677,-196.80683769161618,True
5,6,-496.64803782606776,28.973052480176783,False
5,7,-135.7433935479687,86.0168974664859,True
5,8,431.8841417553434,-317.1553617794195,True
5,9,300.89802197049426,265.7337854069705,True
5,10,-210.62418478468257,-9.201505217154144,True
